card,ungraded,PSA 10,quantity
Charizard ex SAR | 151[Japanese],$88.42,$158.91,1
Blastoise ex SAR | 151[Japanese],$36.01,$85.37,1
Chien-Pao ex SIR | Paldea Evolved,$20.52,$49.04,1
Unfair Stamp Ace Rare | Twilight Masquerade,44.99,N/A,1
Survival Brace Ace Rare | Twilight Masquerade,11.99,N/A,1
Dragapult V | Shiny Star V[Japanese],$1.45,$15.12,1
Tinkatink AR | Paldea Evolved,$5.65,$40.00,1
Iron Crown ex | Temporal Forces,$6.00,$33.00,1
Saguaro SIR | Paldea Evolved,$5.80,$39.89,1
Machoke AR | 151,$5.80,$39.89,1
Nidoking AR | 151,$7.73,$50.00,1
Carmine SR | Masks of Change[Japanese],19.99,N/A,1
Hearthflame Ogerpon SR | Twilight Masquerade[Japanese],$5.10,N/A,2
Rayquaza VMAX #108 | VSTAR Universe[Japanese],$1.87,$30.00,1
Dracozolt VMAX #59 | Evolving Skies,$1.90,$28.84,1
Wugtrio Shiny non AR | Paldean Fates,$3.68,$49.29,1
Ting-Lu SR | Paldea Evolved,$2.07,$39.40,1
Mew ex | 151,$4.13,$29.97,1
Tatsugiri AR | Mask of Change[Japanese],$5.13,$57.82,1
Dragapult ex | Mask of Change[Japanese],$4.84,$54.44,1
Deoxys AR | VSTAR Universe[Japanese],$2.76,$27.99,1
Reuniclus | Temporal Forces,$4.02,$92.63,1
Jynx ex | 151[Japanese],$1.88,$28.46,1
Fidough Shiny | Paldean Fates (Promo),$1.63,N/A,1
Mime Jr Shiny | Paldean Fates,$3.64,$27.00,2
Cubone 1st Ed | Jungle,$3.73,$118.04,1
Lechonk AR | Obsidian Flames,$3.22,$52.00,1
Alolan Vulpix | Silver Tempest,$2.06,$17.24,1
Gardevoir Shiny SR | Paldean Fates,$3.99,$35.00,1
Shining Celebi | Blk Str Promo,$11.27,$143.64,1
Dipplin AR | Mask of Change[Japanese],$2.69,$44.80,1
Lance SR | Silver Tempest,$12.76,$42.99,1
Mew VMAX Gold | Lost Origin,$6.35,$43.30,1
Psyduck AR | 151[Japanese],$3.54,$31.00,1
Paldean Tauros AR | Paldea Evolved,$6.14,$72.14,1
Pachirisu AR | Violet ex[Japanese],$2.42,$16.25,1
Enamorous AR | Crimson Haze[Japanese],$2.58,$42.12,1
Giratina V #130 | Lost Origin,$2.57,$25.00,1
Luxray Shiny | Paldean Fates,$5.88,$40.00,1
Scyther Shiny | Paldean Fates,$6.50,$44.98,1
Poliwrath holo | 20th Anniversary[Japanese],$6.38,$32.92,1
Absol AR | VSTAR Universe[Japanese],$1.83,$32.29,1
Giratina VSTAR Rainbow | Lost Origin[Japanese],$21.99,$62.00,1
Pikachu Fat Gold | Lost Origin,$6.85,$36.44,1
Pikachu AR | 151[Japanese],$6.85,$36.44,1
Espeon VMAX | Evolving Skies,$4.38,$47.00,1
Duraludon VMAX Rainbow | Evolving Skies,$8.89,$35.00,1
Giacomo AA | Paldea Evolved,$4.07,$48.34,1
Jynx AR | Silver Tempest,$1.92,$39.60,1
Gyarados VMAX | Evolving Skies,$4.25,$44.95,1
Galarian Obstagoon AR | Astral Radiance,$2.11,$17.42,1
Ogidogi AR | Mask of Change[Japanese],$2.85,N/A,1
Charizard V | Promo,$8.39,$63.77,1
Wo-Chien ex SR | Paldea Evolved,$2.81,$43.25,1
Drifloon Shiny | Paldean Fates,$6.93,$34.99,1
Ninetales | 20 Anniversary,$2.45,$42.88,1
Sleeping Mew | VSTAR Universe[Japanese],$6.00,$35.00,1
Calyrex AA | VMAX Climax[Japanese],$8.09,$31.30,1
Froslass Gold | Evolving Skies,$8.39,$33.12,1
Charmeleon AR | 151[Japanese],$4.00,$33.50,1
Charmander AR | 151[Japanese],$6.29,$37.94,1
Squirtle AR | 151[Japanese],$5.12,$38.42,1
Wartortle AR | 151[Japanese],$4.60,$36.33,1
Charizard ex | 151[Japanese],$2.75,$22.75,1
Blastoise ex | 151[Japanese],$1.89,$21.73,1

,Collection Sum, PSA 10 Sum,
,$521.52,$2679.94,
