card,ungraded,PSA 10,quantity,links
Charizard ex SAR | 151[Japanese],$88.42,$158.91,1,https://www.pricecharting.com/game/pokemon-japanese-scarlet-&-violet-151/charizard-ex-201
Blastoise ex SAR | 151[Japanese],$36.01,$85.37,1,https://www.pricecharting.com/game/pokemon-japanese-scarlet-&-violet-151/blastoise-ex-202
Chien-Pao ex SIR | Paldea Evolved,$20.52,$49.04,1,https://www.pricecharting.com/game/pokemon-paldea-evolved/chien-pao-ex-holo-261
Unfair Stamp Ace Rare | Twilight Masquerade,27.99,N/A,1,https://www.trollandtoad.com/pokemon/twilight-masquerade-singles/unfair-stamp-165-167-ace-rare/1807545
Survival Brace Ace Rare | Twilight Masquerade,5.99,N/A,1,https://www.trollandtoad.com/pokemon/twilight-masquerade-singles/survival-brace-164-167-ace-rare/1807544
Dragapult V | Shiny Star V[Japanese],$1.45,$15.12,1,https://www.pricecharting.com/game/pokemon-japanese-shiny-star-v/dragapult-v-88
Tinkatink AR | Paldea Evolved,$5.65,$40.00,1,https://www.pricecharting.com/game/pokemon-paldea-evolved/tinkatink-216
Iron Crown ex | Temporal Forces,$5.00,$33.00,1,https://www.pricecharting.com/game/pokemon-temporal-forces/iron-crown-ex-191
Saguaro SIR | Paldea Evolved,$6.38,$37.10,1,https://www.pricecharting.com/game/pokemon-paldea-evolved/saguaro-holo-270
Machoke AR | 151,$8.00,$45.00,1,https://www.pricecharting.com/game/pokemon-scarlet-&-violet-151/machoke-177
Nidoking AR | 151,$7.73,$50.00,1,https://www.pricecharting.com/game/pokemon-scarlet-&-violet-151/nidoking-174
Carmine SR | Masks of Change[Japanese],14.99,N/A,1,https://www.trollandtoad.com/pokemon/twilight-masquerade-singles/carmine-204-167-full-art-secret-rare/1807584
Hearthflame Ogerpon SR | Twilight Masquerade[Japanese],$5.59,$55.29,2,https://www.pricecharting.com/game/pokemon-japanese-mask-of-change/hearthflame-mask-ogerpon-ex-115
Rayquaza VMAX #108 | VSTAR Universe[Japanese],$1.87,$30.00,1,https://www.pricecharting.com/game/pokemon-japanese-vstar-universe/rayquaza-vmax-108
Dracozolt VMAX #59 | Evolving Skies,$2.32,$29.42,1,https://www.pricecharting.com/game/pokemon-evolving-skies/dracozolt-vmax-59
Wugtrio Shiny non AR | Paldean Fates,$3.68,$49.29,1,https://www.pricecharting.com/game/pokemon-paldean-fates/wugtrio-122
Ting-Lu SR | Paldea Evolved,$2.07,$39.40,1,https://www.pricecharting.com/game/pokemon-paldea-evolved/ting-lu-ex-holo-243
Mew ex | 151,$4.13,$29.97,1,https://www.pricecharting.com/game/pokemon-scarlet-&-violet-151/mew-ex-151
Tatsugiri AR | Mask of Change[Japanese],$5.50,$55.44,1,https://www.pricecharting.com/game/pokemon-japanese-mask-of-change/tatsugiri-112
Dragapult ex | Mask of Change[Japanese],$4.84,$54.00,1,https://www.pricecharting.com/game/pokemon-japanese-mask-of-change/dragapult-ex-81
Deoxys AR | VSTAR Universe[Japanese],$2.99,$31.99,1,https://www.pricecharting.com/game/pokemon-japanese-vstar-universe/deoxys-185
Reuniclus | Temporal Forces,$3.87,$89.45,1,https://www.pricecharting.com/game/pokemon-temporal-forces/reuniclus-171
Jynx ex | 151[Japanese],$2.09,$28.50,1,https://www.pricecharting.com/game/pokemon-japanese-scarlet-&-violet-151/jynx-ex-124
Fidough Shiny | Paldean Fates (Promo),$1.63,N/A,1,https://www.pricecharting.com/game/pokemon-promo/fidough-69
Mime Jr Shiny | Paldean Fates,$3.83,$27.00,2,https://www.pricecharting.com/game/pokemon-paldean-fates/mime-jr-157
Cubone 1st Ed | Jungle,$3.73,$118.04,1,https://www.pricecharting.com/game/pokemon-jungle/cubone-1st-edition-50
Lechonk AR | Obsidian Flames,$3.22,$52.00,1,https://www.pricecharting.com/game/pokemon-obsidian-flames/lechonk-209
Alolan Vulpix | Silver Tempest,$2.06,$17.24,1,https://www.pricecharting.com/game/pokemon-silver-tempest/alolan-vulpix-vstar-34
Gardevoir Shiny SR | Paldean Fates,$4.13,$35.00,1,https://www.pricecharting.com/game/pokemon-paldean-fates/gardevoir-ex-217
Shining Celebi | Blk Str Promo,$11.35,$135.45,1,https://www.pricecharting.com/game/pokemon-promo/shining-celebi-sm79
Dipplin AR | Mask of Change[Japanese],$2.69,$43.34,1,https://www.pricecharting.com/game/pokemon-japanese-mask-of-change/dipplin-103
Lance SR | Silver Tempest,$11.83,$42.99,1,https://www.pricecharting.com/game/pokemon-silver-tempest/lance-192
Mew VMAX Gold | Lost Origin,$6.35,$43.30,1,https://www.pricecharting.com/game/pokemon-lost-origin/mew-vmax-tg30
Psyduck AR | 151[Japanese],$3.54,$31.00,1,https://www.pricecharting.com/game/pokemon-japanese-scarlet-&-violet-151/psyduck-175
Paldean Tauros AR | Paldea Evolved,$6.14,$72.14,1,https://www.pricecharting.com/game/pokemon-paldea-evolved/paldean-tauros-218
Pachirisu AR | Violet ex[Japanese],$2.42,$16.25,1,https://www.pricecharting.com/game/pokemon-japanese-violet-ex/pachirisu-84
Enamorous AR | Crimson Haze[Japanese],$2.58,$42.12,1,https://www.pricecharting.com/game/pokemon-japanese-crimson-haze/enamorus-74
Giratina V #130 | Lost Origin,$2.57,$25.00,1,https://www.pricecharting.com/game/pokemon-lost-origin/giratina-v-130
Luxray Shiny | Paldean Fates,$5.48,$43.47,1,https://www.pricecharting.com/game/pokemon-paldean-fates/luxray-137
Scyther Shiny | Paldean Fates,$6.51,$44.98,1,https://www.pricecharting.com/game/pokemon-paldean-fates/scyther-95
Poliwrath holo | 20th Anniversary[Japanese],$6.38,$32.92,1,https://www.pricecharting.com/game/pokemon-japanese-20th-anniversary/poliwrath-25
Absol AR | VSTAR Universe[Japanese],$1.83,$32.29,1,https://www.pricecharting.com/game/pokemon-japanese-vstar-universe/absol-191
Giratina VSTAR Rainbow | Lost Origin[Japanese],$21.99,$62.00,1,https://www.pricecharting.com/game/pokemon-lost-origin/giratina-vstar-201
Pikachu Fat Gold | Lost Origin,$6.85,$36.44,1,https://www.pricecharting.com/game/pokemon-lost-origin/pikachu-vmax-tg29
Pikachu AR | 151[Japanese],$6.76,$30.84,1,https://www.pricecharting.com/game/pokemon-japanese-scarlet-&-violet-151/pikachu-173
Espeon VMAX | Evolving Skies,$4.88,$41.46,1,https://www.pricecharting.com/game/pokemon-evolving-skies/espeon-vmax-65
Duraludon VMAX Rainbow | Evolving Skies,$8.13,$35.00,1,https://www.pricecharting.com/game/pokemon-evolving-skies/duraludon-vmax-219
Giacomo AA | Paldea Evolved,$4.05,$48.31,1,https://www.pricecharting.com/game/pokemon-paldea-evolved/giacomo-holo-267
Jynx AR | Silver Tempest,$1.92,$39.60,1,https://www.pricecharting.com/game/pokemon-silver-tempest/jynx-tg04
Gyarados VMAX | Evolving Skies,$3.60,$39.26,1,https://www.pricecharting.com/game/pokemon-evolving-skies/gyarados-vmax-29
Galarian Obstagoon AR | Astral Radiance,$2.11,$17.42,1,https://www.pricecharting.com/game/pokemon-astral-radiance/galarian-obstagoon-tg10
Ogidogi AR | Mask of Change[Japanese],$2.99,$44.13,1,https://www.pricecharting.com/game/pokemon-japanese-mask-of-change/okidogi-110
Charizard V | Promo,$8.39,$63.77,1,https://www.pricecharting.com/game/pokemon-promo/charizard-v-swsh260
Wo-Chien ex SR | Paldea Evolved,$2.75,$42.64,1,https://www.pricecharting.com/game/pokemon-paldea-evolved/wo-chien-ex-holo-232
Drifloon Shiny | Paldean Fates,$7.00,$34.99,1,https://www.pricecharting.com/game/pokemon-paldean-fates/drifloon-155
Ninetales | 20 Anniversary,$2.45,$42.88,1,https://www.pricecharting.com/game/pokemon-japanese-20th-anniversary/ninetales-15
Sleeping Mew | VSTAR Universe[Japanese],$6.00,$35.00,1,https://www.pricecharting.com/game/pokemon-japanese-vstar-universe/mew-183
Calyrex AA | VMAX Climax[Japanese],$8.09,$31.30,1,https://www.pricecharting.com/game/pokemon-japanese-vmax-climax/ice-rider-calyrex-v-220
Froslass Gold | Evolving Skies,$8.73,$33.12,1,https://www.pricecharting.com/game/pokemon-evolving-skies/frosslass-226
Charmeleon AR | 151[Japanese],$4.00,$33.50,1,https://www.pricecharting.com/game/pokemon-japanese-scarlet-&-violet-151/charmeleon-169
Charmander AR | 151[Japanese],$6.29,$37.94,1,https://www.pricecharting.com/game/pokemon-japanese-scarlet-&-violet-151/charmander-168
Squirtle AR | 151[Japanese],$5.12,$38.42,1,https://www.pricecharting.com/game/pokemon-japanese-scarlet-&-violet-151/squirtle-170
Wartortle AR | 151[Japanese],$4.60,$36.33,1,https://www.pricecharting.com/game/pokemon-japanese-scarlet-&-violet-151/wartortle-171
Charizard ex | 151[Japanese],$2.75,$22.75,1,https://www.pricecharting.com/game/pokemon-japanese-scarlet-&-violet-151/charizard-ex-6
Blastoise ex | 151[Japanese],$1.89,$21.73,1,https://www.pricecharting.com/game/pokemon-japanese-scarlet-&-violet-151/blastoise-ex-9
Palafin AR | Obsidian Flames,$3.49,$44.20,1,https://www.pricecharting.com/game/pokemon-obsidian-flames/palafin-200
Flying Pikachu VMAX | Celebrations,$2.35,$24.47,1,https://www.pricecharting.com/game/pokemon-celebrations/flying-pikachu-vmax-7
Ralts Shiny | Paldean Fates,$6.07,$27.48,1,https://www.pricecharting.com/game/pokemon-paldean-fates/ralts-153
Boss's Orders | Paldea Evolved,$6.04,$70.00,1,https://www.pricecharting.com/game/pokemon-paldea-evolved/boss%27s-orders-holo-248
Poliwhirl | 151[Japanese],$3.40,$26.69,1,https://www.pricecharting.com/game/pokemon-japanese-scarlet-&-violet-151/poliwhirl-176
Squawkabilly ex SR | Paldea Evolved,$3.47,$45.61,1,https://www.pricecharting.com/game/pokemon-paldea-evolved/squawkabilly-ex-holo-247
Wiglett Shiny | Paldean Fates,$4.17,$33.50,1,https://www.pricecharting.com/game/pokemon-paldean-fates/wiglett-121
Chien-Pao ex | Paldea Evolved,$4.09,$19.00,1,https://www.pricecharting.com/game/pokemon-paldea-evolved/chien-pao-ex-holo-61
Eiscue AR | Paldea Evolved,$4.99,$57.16,1,https://www.pricecharting.com/game/pokemon-paldea-evolved/eiscue-205

,Collection Sum, PSA 10 Sum,,
,$534.18,$3160.0499999999997,,
